id,size,storage,complexity,codec,level,compress,decompress,dc_no_cache,ratio
430,mid,ephemeral,bitcoin,bloscpack_lz4hc,1,0.13089791933695474,0.0043116410573323565,0.03129498163859049,1.5144271042150739
431,small,esb,poisson,bloscpack_blosclz,3,0.035526275634765625,0.00048246383666992185,0.0024443626403808593,7.375819476098028
432,mid,esb,bitcoin,bloscpack_lz4hc,9,1.2287932236989338,0.008009751637776693,0.03281807899475098,1.5916934952953192
433,small,esb,poisson,tables_blosc_lz4,5,0.03786177635192871,0.001864480972290039,0.006252670288085937,8.905709092762141
434,large,ephemeral,linspace,tables_zlib,3,0.5142764250437418,0.29608798027038574,0.3170998891194661,32.1998734822476
435,small,ephemeral,bitcoin,bloscpack_zlib,5,0.06040968894958496,0.0025156497955322265,0.006623268127441406,1.7550475929053346
436,mid,ephemeral,neuronal,tables_blosc_lz4hc,3,0.29463617006937665,0.009302775065104166,0.030464728673299152,1.9128050324378005
437,mid,ephemeral,arange,tables_blosc_lz4hc,7,0.05879751841227213,0.005573272705078125,0.017100811004638672,104.17421713559052
438,large,ephemeral,poisson,tables_blosc_blosclz,5,0.6741909980773926,0.15909592310587564,0.17294788360595703,10.946462680174225
439,large,ephemeral,poisson,zfile,9,41.57870904604594,0.29102492332458496,0.3317224184672038,12.214150194387187
440,large,esb,linspace,tables,0,1.1573230425516765,0.13051939010620117,0.724333127339681,0.99982409710938
441,mid,esb,linspace,tables_lzo,9,0.054795424143473305,0.015107393264770508,0.027532339096069336,19.62982168764918
442,large,esb,neuronal,tables_blosc_zlib,9,12.516735951105753,0.47273818651835126,0.5040282408396403,2.5574949536733063
443,mid,ephemeral,arange,tables_blosc_lz4hc,5,0.05839331944783529,0.005549907684326172,0.01691714922587077,104.17421713559052
444,small,esb,arange,tables_blosc_lz4,3,0.03608160018920899,0.0017757892608642578,0.005873250961303711,64.6949654491609
445,large,esb,linspace,tables_blosc_lz4hc,3,0.7816762129465739,0.15677285194396973,0.1655441919962565,26.597348625510094
446,small,esb,neuronal,bloscpack_lz4hc,7,0.2642346382141113,0.0009654998779296875,0.005282735824584961,2.0556000995869494
447,large,esb,poisson,bloscpack_zlib,9,2.6203814347585044,0.37538949648539227,0.3812692165374756,16.803951759407287
448,mid,ephemeral,poisson,tables_blosc_lz4,7,0.05448794364929199,0.006582419077555339,0.019129594167073567,9.539082385862258
449,small,esb,arange,tables_blosc_blosclz,9,0.03659954071044922,0.001787090301513672,0.005854511260986328,64.6949654491609
450,small,ephemeral,bitcoin,bloscpack_lz4,7,0.03266234397888183,0.0007216453552246094,0.0053408145904541016,1.4183324270731041
451,mid,ephemeral,bitcoin,bloscpack_lz4,9,0.0931851069132487,0.004818360010782878,0.03241276741027832,1.4909465509163644
452,large,ephemeral,arange,bloscpack_snappy,3,0.12509592374165854,0.08146905899047852,0.08606370290120442,14.943945383090238
453,large,ephemeral,arange,tables_blosc_lz4hc,9,0.23825335502624512,0.15030805269877115,0.1586315631866455,132.91688638299598
454,mid,ephemeral,linspace,bloscpack_snappy,5,0.04278850555419922,0.003323237101236979,0.009915828704833984,7.669525555186594
455,mid,ephemeral,neuronal,zfile,3,0.40874091784159344,0.050453503926595054,0.07848461469014485,2.3680016621105415
456,small,esb,neuronal,zfile,5,0.08431768417358398,0.004576587677001953,0.008056735992431641,2.316655067660867
457,small,esb,neuronal,bloscpack_zlib,1,0.044895505905151366,0.0014459609985351563,0.0040072441101074215,2.345749880875415
458,large,esb,linspace,tables_zlib,1,0.6029427846272787,0.29052964846293133,0.3018171787261963,30.12176526891889
459,small,ephemeral,bitcoin,bloscpack_zlib,7,0.09283900260925293,0.0061511039733886715,0.010886478424072265,1.7573977984259148
460,large,esb,poisson,bloscpack_snappy,9,0.2686742941538493,0.09405930836995442,0.10837793350219727,7.036463687399388
461,mid,esb,bitcoin,tables_zlib,3,0.3750463326772054,0.05777184168497721,0.07326594988505046,1.683806472477982
462,mid,ephemeral,poisson,bloscpack_blosclz,9,0.04508145650227865,0.004065195719401042,0.01067654291788737,9.15552614047235
